BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6,0,3.23,1.68,1.617,0.487,-2.539354839
6.083333333,1,3.44,1.66,-0.264,2.6,0.056179775
6.083333333,1,3.2,1.397,-1.101,2.319,0.022739878
6.166666667,1,3.24,1.5,0.222,2.102,-0.308045977
6.166666667,0,3.24,1.5,-1.601,1.813,-0.640229885
6,1,3.38,1.5,-1.049,2.611,0.181914894
6,0,3.38,1.5,1.157,1.45,-1.053191489
6,0,3.38,1.5,-1.231,3.475,1.10106383
6.583333333,0,3.69,1.93,1.879,1.709,-1.251136364
5.916666667,1,3.15,1.51,-0.386,2.755,0.518292683
5.916666667,0,3.15,1.51,0.679,1.726,-0.736585366
5.916666667,0,3.15,1.51,-1.312,1.843,-0.593902439
5.916666667,0,3.15,1.51,-1.435,2.324,-0.007317073
5.916666667,1,3.15,1.51,-0.234,2.394,0.07804878
6,0,3.22,1.54,-1.56,2.616,0.280952381
6,1,3.22,1.54,-0.482,3.223,1.003571429
6,0,3.22,1.54,1.203,1.505,-1.041666667
6,0,3.22,1.54,2.107,2.595,0.255952381
6.083333333,0,3.17,1.44,-0.904,4.12,2.098265896
6.083333333,1,3.17,1.44,0.447,2.53,0.260115607
6.083333333,0,3.17,1.44,-0.326,1.434,-1.006936416
6.083333333,0,4.08,1.58,-2.195,2.374,-0.3648
6.25,0,3.19,1.54,-0.975,1.395,-1.175757576
6.083333333,1,4.08,1.58,0.784,2.026,-0.6432
6.083333333,0,4.08,1.58,1.234,1.426,-1.1232
6.083333333,1,3.35,1.59,-1.039,2.387,-0.094318182
6.083333333,0,3.35,1.59,1.46,1.188,-1.456818182
6,0,3.375,1.5,1.665,1.745,-0.738666667
6.166666667,0,3.811,1.67,-0.506,1.034,-1.5941149
5.666666667,1,3.481,1.369,-0.712,1.884,-0.512310606
5.666666667,0,3.481,1.369,-0.245,1.015,-1.335227273
5.666666667,0,3.481,1.369,-0.697,1.136,-1.220643939
6.166666667,0,3.833,1.753,-0.565,1.303,-1.432692308
5.916666667,0,3.838,1.642,1.129,1.631,-1.010018215
5.916666667,1,3.838,1.642,0.561,3.035,0.26867031
5.916666667,0,3.838,1.642,1.445,2.883,0.130236794
6,1,3.491,1.545,0.546,2.097,-0.432682425
6.166666667,0,3.375,1.5,-1.226,1.453,-1.050133333
6.166666667,0,3.537,1.5,-0.793,0.272,-2.205694649
6.083333333,1,3.937,1.606,0.091,2.616,-0.133419133
6,0,3.375,1.539,-0.836,1.098,-1.480392157
6,0,3.375,1.539,-1.563,1.492,-1.051198257
6.166666667,0,3.815,1.67,0.466,1.313,-1.332867133
6.166666667,1,3.815,1.67,0.218,1.681,-0.98974359
6.166666667,0,3.815,1.67,0.715,1.198,-1.44009324
6.166666667,1,3.815,1.67,0.436,2.164,-0.539393939
6.166666667,0,3.815,1.67,2.292,0.383,-2.2
6.166666667,1,3.811,1.67,0.192,1.758,-0.917795423
6.166666667,1,3.811,1.67,-0.93,1.971,-0.71882298
6.166666667,1,3.811,1.67,-1.166,2.612,-0.120037366
6.166666667,1,3.833,1.753,0.583,1.881,-0.876923077
6.166666667,0,3.833,1.753,-2.106,3.825,0.992307692
5.916666667,1,3.838,1.642,-0.869,2.77,0.027322404
6,0,3.491,1.545,-0.538,1.104,-1.45323741
6.083333333,1,3.937,1.606,0.702,2.458,-0.268983269
6,0,3.375,1.539,-2.167,2.914,0.497821351
6,0,3.375,1.539,-1.118,1.643,-0.88671024
6,0,3.375,1.539,-0.987,3.301,0.919389978
6,1,3.375,1.539,-0.555,2.915,0.498910675
6,1,3.375,1.539,-1.285,2.318,-0.151416122
6.333333333,0,4.33,1.83,-1.322,0.724,-1.8848
6.166666667,0,3.811,1.67,-1.024,1.062,-1.567958898
6.166666667,1,3.811,1.67,-0.069,1.633,-1.034563288
6.166666667,0,3.811,1.67,1.533,2.226,-0.480616534
5.666666667,0,3.481,1.369,-0.987,1.738,-0.650568182
6.166666667,1,3.833,1.753,-0.368,1.739,-1.013461538
6.166666667,0,3.833,1.753,-1.711,2.04,-0.724038462
6.166666667,1,3.833,1.753,-1.019,2.533,-0.25
6.166666667,0,3.833,1.753,1.515,3,0.199038462
5.916666667,1,3.838,1.642,-0.088,3.211,0.428961749
5.916666667,0,3.838,1.642,0.026,4.776,1.85428051
6,0,3.491,1.545,-1.081,2.834,0.324768756
6.083333333,0,3.937,1.606,1.196,3.489,0.615615616
6.083333333,0,4.08,1.58,-0.185,3.508,0.5424
6.166666667,0,3.811,1.67,-1.289,5.812,2.869219991
5.666666667,0,3.481,1.369,-1.45,4.292,1.767992424
6.166666667,1,3.537,1.5,-0.759,2.16,-0.351988218
6.166666667,0,3.537,1.5,0.11,0.013,-2.459990182
6.166666667,0,3.537,1.5,0.739,3.614,1.075601375
6.083333333,0,3.937,1.606,1.216,1.779,-0.851565852
6.083333333,0,3.937,1.606,0.274,0.653,-1.817674818
6.083333333,0,3.937,1.606,2.558,1.135,-1.404118404
6,0,3.375,1.539,-0.395,3.762,1.421568627
6.083333333,1,4.08,1.58,-0.208,2.973,0.1144
6.083333333,1,4.08,1.58,0.42,2.238,-0.4736
6.083333333,0,3.61,1.58,-0.323,1.554,-1.025615764
6.166666667,1,3.811,1.67,-0.494,2.104,-0.594581971
6.166666667,1,3.811,1.67,-0.813,1.909,-0.776739841
6.166666667,1,3.833,1.753,0.195,1.949,-0.811538462
6.166666667,1,3.833,1.753,-0.557,2.812,0.018269231
6.166666667,0,3.833,1.753,-1.43,2.769,-0.023076923
6.166666667,0,3.833,1.753,0.356,1.296,-1.439423077
5.916666667,1,3.838,1.642,0.643,2.894,0.140255009
5.916666667,0,3.838,1.642,0.238,5.294,2.326047359
6.166666667,1,3.537,1.5,0.194,2.596,0.076092293
6.166666667,0,3.537,1.5,1.632,2.019,-0.490427099
6,0,3.375,1.539,0.795,0.979,-1.610021786
6,0,3.375,1.539,1.549,2.929,0.51416122
6.083333333,0,3.61,1.58,0.465,1.197,-1.377339901
6.083333333,0,3.61,1.58,1.239,3.038,0.436453202
6.083333333,1,3.61,1.58,-0.542,2.528,-0.066009852
6.083333333,0,3.61,1.58,-0.535,1.126,-1.44729064
6.083333333,0,3.61,1.58,1.483,1.291,-1.284729064
6.166666667,0,3.811,1.67,1.951,2.884,0.13404951
5.75,1,3.34,1.52,0.006,2.074,-0.391208791
5.75,0,3.34,1.52,-0.181,1.541,-0.976923077
5.75,0,3.34,1.52,1.137,1.24,-1.307692308
6.166666667,0,3.35,1.63,-1.601,1.552,-1.090697674
6.166666667,0,3.35,1.63,-1.493,2.222,-0.311627907
6.166666667,0,3.35,1.63,-0.966,1.227,-1.468604651
6.166666667,0,3.35,1.63,0.042,1.719,-0.896511628
5.916666667,0,3.29,1.58,0.633,1.376,-1.238596491
5.916666667,1,3.29,1.58,0.133,2.198,-0.277192982
5.916666667,1,3.29,1.58,0.878,1.762,-0.787134503
5.916666667,0,3.29,1.58,0.187,1.535,-1.052631579
6.333333333,1,3.19,1.51,0.781,2.539,0.225
6.333333333,0,3.19,1.51,1.269,2.508,0.188095238
6.333333333,0,3.19,1.51,-0.052,0.961,-1.653571429
6.333333333,0,3.19,1.51,1.49,0.635,-2.041666667
6,0,3.42,1.62,1.337,2.319,-0.223333333
6,0,3.42,1.62,2.084,1.401,-1.243333333
6,0,3.17,1.46,1.576,1.338,-1.142690058
6,0,3.38,1.5,0.204,1.68,-0.808510638
6,0,3.38,1.5,0.262,4.826,2.538297872
6.166666667,1,3.8,1.7,0.837,2.23,-0.495238095
6.166666667,0,3.8,1.7,1.199,1.021,-1.646666667
5.75,1,3.34,1.52,-0.032,2.712,0.30989011
5.75,0,3.34,1.52,-0.184,3.332,0.991208791
6.166666667,1,3.35,1.63,0.566,1.794,-0.809302326
5.916666667,0,3.29,1.58,1.298,2.031,-0.47251462
5.916666667,0,3.29,1.58,1.378,2.905,0.549707602
5.916666667,1,3.29,1.58,0.469,2.359,-0.088888889
6.333333333,0,3.19,1.51,-0.572,1.663,-0.817857143
6.333333333,1,3.19,1.51,0.813,2.619,0.320238095
6,1,3.17,1.46,0.872,2.317,0.002339181
6,1,3.17,1.46,-0.114,1.965,-0.409356725
6,1,3.38,1.5,-0.123,2.753,0.332978723
6,0,3.38,1.5,1.466,0.721,-1.828723404
6,0,3.38,1.5,1.631,3.1,0.70212766
6,0,3.38,1.5,-1.77,1.2,-1.319148936
6.166666667,0,3.8,1.7,1.388,1.115,-1.557142857
6.166666667,0,3.8,1.7,-1.441,2.953,0.193333333
6.166666667,1,3.8,1.7,-0.345,2.813,0.06
5.916666667,0,3.29,1.58,1.257,1.738,-0.815204678
5.916666667,1,3.29,1.58,-0.346,2.292,-0.167251462
5.916666667,1,3.29,1.58,0.618,1.95,-0.567251462
6.333333333,0,3.19,1.51,0.227,1.763,-0.698809524
6.333333333,1,3.19,1.51,-0.124,2.647,0.353571429
6.333333333,0,3.19,1.51,1.077,2.898,0.652380952
6,0,3.42,1.62,1.582,1.888,-0.702222222
6,1,3.42,1.62,0.786,2.23,-0.322222222
6.25,1,3.26,1.43,-0.878,2.23,-0.12568306
6.25,0,3.26,1.43,2.091,2.995,0.710382514
6.25,0,3.26,1.43,-2.04,1.468,-0.958469945
6.25,1,3.36,1.56,0.498,1.999,-0.512222222
6.25,0,3.36,1.56,0.511,1.605,-0.95
6.25,0,3.36,1.56,-1.258,2.567,0.118888889
6.25,0,3.36,1.56,-2.091,2.404,-0.062222222
6.25,1,3.38,1.63,0.678,2.343,-0.185142857
6.25,0,3.38,1.63,-1.282,2.585,0.091428571
5.916666667,0,3.24,1.53,0.066,1.327,-1.237426901
5.916666667,0,3.24,1.53,1.498,1.971,-0.484210526
6.166666667,1,3.67,1.94,0.217,3.124,0.368786127
6.166666667,0,3.67,1.94,0.089,4.546,2.012716763
6.083333333,0,3.39,1.52,-1.148,1.01,-1.545454545
5.833333333,0,3.13,1.47,-0.448,3.272,1.171084337
5.833333333,1,3.13,1.47,-1.074,3.134,1.004819277
6.25,0,3.691,1.43,0.268,0.434,-1.881026095
6.25,0,3.691,1.812,-0.493,0.702,-2.18147951
6.25,1,3.36,1.56,0.546,2.571,0.123333333
6.25,0,3.36,1.56,-1.046,1.571,-0.987777778
6.25,0,3.36,1.56,1.509,1.135,-1.472222222
6.25,0,3.36,1.56,1.651,1.081,-1.532222222
6.25,0,3.36,1.56,1.169,2.499,0.043333333
6.25,0,3.847,1.808,-1.604,1.903,-0.906817067
6.25,0,3.38,1.63,-1.235,2.463,-0.048
6.25,1,3.38,1.63,-0.115,1.812,-0.792
6,1,3.25,1.45,0.871,2.265,-0.094444444
6.083333333,1,3.26,1.51,-0.291,2.032,-0.403428571
6.083333333,0,3.26,1.51,-1.917,0.723,-1.899428571
6.083333333,0,3.26,1.51,-2.08,2.247,-0.157714286
6.333333333,0,3.596,1.729,-1.79,1.02,-1.759507231
6.333333333,0,3.596,1.729,-2.228,1.271,-1.490626674
6.333333333,0,3.596,1.729,-1.324,1.627,-1.109266202
6.333333333,1,3.596,1.729,-1.078,2.153,-0.545795394
6.333333333,0,3.596,1.729,-1.879,1.567,-1.173540439
6,0,3.38,1.5,-1.793,1.359,-1.15
6,0,3.38,1.5,-1.368,2.241,-0.211702128
6,0,3.38,1.5,-0.416,1.599,-0.894680851
5.833333333,1,3.27,1.55,-0.351,2.986,0.669767442
6.166666667,1,3.38,1.5,-0.725,1.787,-0.694680851
6.166666667,0,3.38,1.5,-1.188,0.431,-2.137234043
6.083333333,0,4.17,1.67,1.194,2.337,-0.4664
6.083333333,0,3.66,1.67,0.024,3.415,0.753768844
6.083333333,1,3.631,1.67,-0.005,2.91,0.264660887
5.916666667,0,3.24,1.63,0.67,1.556,-1.091925466
5.916666667,0,3.24,1.63,0.637,1.176,-1.563975155
5.916666667,0,3.24,1.63,-0.29,0.114,-2.883229814
6.5,0,3.5,1.69,0.377,1.151,-1.59558011
6.166666667,1,3.203,1.67,-1.154,2.483,0.060665362
6.166666667,1,3.38,1.5,-0.18,2.701,0.277659574
6.083333333,0,3.631,1.67,1.642,2.576,-0.075981642
6.083333333,1,3.631,1.67,-0.155,2.074,-0.587965324
6.083333333,0,3.631,1.67,2.436,0.889,-1.796532381
5.916666667,0,3.24,1.63,0.537,3.413,1.214906832
6.5,0,3.5,1.69,1.417,2.136,-0.50718232
6,0,3.26,1.52,0.901,2.191,-0.228735632
6,0,3.26,1.52,1.137,1.819,-0.656321839
6.166666667,1,3.203,1.67,-0.259,2.484,0.061969993
6.166666667,0,3.203,1.67,1.402,1.755,-0.889106327
6.166666667,1,3.203,1.67,-0.376,1.836,-0.783431181
6.166666667,1,3.402,1.697,-0.023,2.833,0.33255132
6,0,3.38,1.5,-1.355,2.61,0.180851064
6,1,3.38,1.5,0.058,2.173,-0.284042553
6,0,3.38,1.5,1.038,1.776,-0.706382979
5.833333333,1,3.27,1.55,0.214,1.734,-0.786046512
6.083333333,1,3.631,1.67,0.364,2.303,-0.354411015
6.083333333,0,3.631,1.67,-1.129,1.603,-1.068332483
6.083333333,0,3.518,1.67,-0.563,0.758,-1.987012987
6,1,3.458,1.739,-0.263,2.227,-0.43222804
6,0,3.458,1.739,-1.267,1.597,-1.165212333
6,0,3.458,1.739,-0.854,-0.627,-3.752763234
6,0,3.458,1.739,1.398,2.802,0.236765561
6.25,1,3.335,1.735,0.939,2.577,0.0525
6.25,0,3.356,1.596,-1.461,2.477,0.001136364
6.25,0,3.356,1.596,-0.458,1.029,-1.644318182
6.25,1,3.356,1.596,0.823,1.841,-0.721590909
6.25,0,3.267,1.689,0.933,2.202,-0.349809886
6.083333333,1,3.197,1.5,0.337,2.099,-0.294048321
6.083333333,0,3.197,1.5,-0.58,3.416,1.258102534
6.083333333,0,3.197,1.5,1.657,0.643,-2.010017678
6.083333333,0,3.197,1.5,1.239,1.366,-1.157925751
6.083333333,1,3.197,1.5,0.45,2.211,-0.162050678
6.25,0,3.244,1.597,1.574,3.765,1.632665452
6,0,3.38,1.735,0.318,1.78,-0.945288754
6,0,3.38,1.735,1.789,2.544,-0.016413374
6,1,3.38,1.735,-0.738,1.428,-1.37325228
6,0,3.38,1.735,0.933,2.234,-0.39331307
6,0,3.38,1.735,0.373,0.834,-2.095440729
6,1,3.395,1.679,0.077,1.727,-0.944055944
6,0,3.395,1.679,0.849,0.039,-2.911421911
6,0,3.395,1.679,-0.225,1.547,-1.153846154
6,0,3.395,1.679,0.312,1.16,-1.604895105
6,0,3.395,1.679,-1.403,3.864,1.546620047
6,1,3.1,1.5,0.474,2.616,0.395
6.25,0,3.356,1.668,-1.144,3.107,0.704976303
6.083333333,1,3.197,1.5,0.895,2.817,0.552150854
6.083333333,0,3.197,1.5,1.934,0.942,-1.657631114
6.083333333,0,3.197,1.5,1.247,1.077,-1.498526812
6.25,0,3.244,1.597,0.904,0.641,-2.160898604
6,0,3.38,1.735,0.311,3.5,1.145896657
6,1,3.38,1.735,0.586,1.788,-0.93556231
6,0,3.38,1.735,1.465,3.442,1.075379939
6,1,3.38,1.735,0.705,2.005,-0.671732523
5.916666667,0,3.131,1.508,1.054,3.215,1.103512015
5.916666667,0,3.131,1.508,1.548,2.792,0.582255083
5.75,0,3.34,1.52,0.847,1.231,-1.317582418
5.75,0,3.118,1.52,1.01,2.61,0.364205257
5.75,1,3.118,1.52,0.266,2.233,-0.107634543
5.75,1,3.118,1.52,0.361,1.546,-0.967459324
