BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6.166666667,0,3.603,1.614,2.269,-0.194,-2.817998994
6.083333333,0,3.664,1.66,-0.176,1.697,-0.963073852
6.083333333,0,3.664,1.66,0.368,1.012,-1.646706587
6.083333333,1,3.664,1.66,0.336,2.374,-0.28742515
6,0,3.438,1.447,1.008,2.496,0.053741838
6,1,3.438,1.447,0.216,2.095,-0.349070819
6,1,3.438,1.447,-0.645,2.755,0.313912607
6,0,3.438,1.447,0.929,2.7,0.258663988
6,1,3.438,1.447,0.783,1.839,-0.606228026
5.833333333,1,3.184,1.444,0.067,1.974,-0.390804598
5.666666667,1,3.27,1.42,0.317,2.608,0.284324324
5.666666667,0,3.27,1.42,-1.643,3.537,1.288648649
5.666666667,0,3.27,1.42,-1.251,2.474,0.139459459
5.666666667,0,3.27,1.42,0.515,0.678,-1.802162162
5.666666667,0,3.27,1.42,-0.58,3.691,1.455135135
6.25,0,3.43,1.56,0.012,4.339,1.972192513
6.166666667,0,3.28,1.58,1.318,3.332,1.061176471
6.166666667,0,3.28,1.58,1.367,3.368,1.103529412
6.166666667,1,3.603,1.614,2.304,3.601,0.997988939
6.166666667,0,3.603,1.614,0.389,2.158,-0.452991453
6.166666667,0,3.603,1.614,2.281,3.811,1.209150327
6.25,0,3.492,1.6,-1.12,2.96,0.437632135
6.25,0,3.492,1.6,-1.825,2.573,0.028541226
6.25,1,3.492,1.6,-0.044,3.173,0.662790698
6.083333333,0,3.664,1.66,0.861,2.424,-0.23752495
6,1,4,1.5,0.243,3.062,0.2496
6,0,4,1.5,1.25,2.365,-0.308
6,0,3.253,1.5,0.538,0.138,-2.553907587
6,0,3.253,1.5,1.9,2.396,0.022247576
5.833333333,0,3.184,1.444,0.08,1.268,-1.202298851
5.833333333,0,3.184,1.444,0.622,1.375,-1.079310345
5.833333333,0,3.184,1.444,1.231,2.365,0.05862069
5.833333333,1,3.184,1.444,-0.267,2.426,0.128735632
6.083333333,0,3.72,1.45,0.983,1.272,-1.156828194
6.083333333,1,3.72,1.45,0.171,2.067,-0.456387665
6.333333333,1,3.92,1.93,-1.032,1.941,-0.988944724
6.333333333,0,3.92,1.93,-1.207,0.658,-2.27839196
6.333333333,0,3.92,1.93,-0.086,1.716,-1.215075377
6,0,3.98,1.64,1.803,1.836,-0.832478632
6,1,3.98,1.64,-0.612,3.136,0.278632479
6,1,3.98,1.64,0.87,2.438,-0.317948718
6,0,3.98,1.64,1.448,3.528,0.613675214
6,0,3.98,1.64,-1.684,2.309,-0.428205128
6.333333333,0,3.38,1.5,-0.73,1.893,-0.581914894
6.333333333,1,3.38,1.5,0.38,2.585,0.154255319
6.333333333,0,3.38,1.5,-1.94,2.181,-0.275531915
6,1,3.375,1.5,0.109,2.535,0.104
6,0,3.375,1.5,0.93,1.522,-0.976533333
6,0,3.38,1.58,-0.635,1.551,-1.032222222
6.333333333,0,3.38,1.5,-1.609,1.824,-0.655319149
6.333333333,0,3.38,1.5,-1.862,2.581,0.15
6.333333333,0,3.38,1.5,-0.527,4.301,1.979787234
6.333333333,0,3.38,1.5,0.767,3.631,1.267021277
5.916666667,0,2.93,1.17,-1.116,3.118,1.213636364
5.916666667,0,2.93,1.17,0.079,1.312,-0.838636364
5.833333333,1,3.38,1.5,0.311,2.138,-0.321276596
5.833333333,0,3.38,1.5,2.553,1.637,-0.854255319
